kreiskey1864,county,rb,edu1864_pub_ele_tea_m,edu1864_pub_ele_tea_f,edu1864_pub_mim_tea_m,edu1864_pub_mif_tea_m,edu1864_pub_mif_tea_f,edu1864_pub_rea_tea_m,edu1864_pub_pgy_tea_m,edu1864_pub_gym_tea_m,edu1864_pri_ele_tea_m,edu1864_pri_ele_tea_f,edu1864_pri_hsm_tea_m,edu1864_pri_hsf_tea,edu1864_pri_voc_tea_m,edu1864_pri_sun_tea_m
319,"WETZLAR","KOB",101,5,1,"0",0,0,0,10,1,0,3,"9",0,4
320,"DAUN","TRI",64,4,0,"0",0,0,0,0,0,0,0,"0",0,0
321,"PRUM","TRI",70,8,0,"0",0,0,4,0,0,0,0,"0",0,0
322,"BITBURG","TRI",89,11,2,"0",0,0,0,0,1,0,0,"0",3,0
323,"WITTLICH","TRI",79,9,0,"0",0,3,0,0,1,0,0,"0",0,0
324,"BERNKASTEL","TRI",85,11,0,"0",0,0,0,0,8,0,1,"0",0,0
325,"TRIER STADTKREIS","TRI",20,14,0,"3",2,15,0,26,1,0,0,"35",0,2
326,"TRIER LANDKREIS","TRI",119,26,0,"0",0,0,0,0,3,1,0,"3",0,0
327,"SAARBURG","TRI",60,16,0,"0",0,0,0,0,0,0,0,"0",0,0
328,"MERZIG","TRI",56,17,0,"0",0,0,0,0,1,0,4,"0",0,0
329,"SAARLOUIS","TRI",76,35,0,"0",2,17,0,0,1,0,0,"0",0,1
330,"SAARBRUCKEN","TRI",102,7,4,"0",7,0,0,13,0,0,0,"7",5,13
331,"OTTWEILER","TRI",72,8,0,"0",0,5,0,0,5,1,1,"1",0,1
332,"SANKT WENDEL","TRI",104,4,0,"0",0,0,8,0,3,0,0,"0",0,0
333,"ERKELENZ","AAC",75,7,0,"0",0,0,4,0,0,0,0,"0",0,0
334,"HEINSBERG","AAC",68,6,3,"0",0,0,0,0,1,0,0,"0",0,0
335,"GEILENKIRCHEN","AAC",51,5,0,"0",0,0,0,0,1,2,6,"3",0,0
336,"JULICH","AAC",91,6,2,"0",0,0,8,0,2,0,0,"1",0,0
337,"DUREN","AAC",110,21,0,"0",0,10,0,13,0,0,4,"1",2,0
338,"AACHEN STADTKREIS","AAC",47,41,10,"6",19,16,0,20,0,0,2,"29",6,8
339,"AACHEN LANDKREIS","AAC",115,38,5,"0",0,0,0,0,2,1,4,"0",0,0
340,"EUPEN","AAC",23,15,0,"0",0,8,0,0,1,3,7,"5",0,0
341,"MONTJOIE","AAC",37,7,0,"0",1,0,0,0,1,0,2,"0",0,0
342,"SCHLEIDEN","AAC",100,5,0,"0",0,0,0,0,2,0,0,"0",0,0
343,"MALMEDY","AAC",88,6,0,"0",0,0,0,0,2,1,0,"0",0,0
344,"SIGMARINGEN","AAC",50,0,0,"0",0,0,0,10,0,2,0,"2",0,2
345,"GAMMERTINGEN","AAC",37,0,0,"0",0,0,0,0,0,0,0,"0",0,0
346,"HECHINGEN","AAC",45,0,0,"0",0,3,0,0,0,0,0,"0",0,2
347,"HAIGERLOCH","AAC",28,0,0,"0",0,0,0,0,0,0,0,"0",0,0
